,A,B,X_MID,Y_MID,TAZID_1,nearest_tazid
0,1,29685,412206.5628,4605795.562,1.0,1
1,2,29685,412559.5628,4605981.062,2.0,2
2,3,29645,409312.7077,4603276.5370000005,3.0,3
3,4,29671,409846.55585,4604799.603,4.0,4
4,5,29680,413438.0,4603833.0,5.0,5
5,6,29645,409879.2077,4602875.5370000005,6.0,6
6,7,29629,408936.0,4601965.5,7.0,7
7,8,29662,414536.5,4599557.0,8.0,8
8,8,29676,414665.0,4600538.0,8.0,8
9,9,29544,409297.0,4600120.5,9.0,9
10,9,29584,409496.5,4600606.5,9.0,9
11,10,29554,410294.0,4599665.0,10.0,10
12,10,29584,409951.5,4600424.5,10.0,10
13,11,29544,408914.0,4598775.5,11.0,11
14,12,29489,409702.0,4596287.0,12.0,12
15,13,29518,411102.5,4596229.0,13.0,13
16,14,29531,411769.5,4596422.5,14.0,14
17,15,29585,411684.0,4600285.5,15.0,15
18,16,29609,412982.5,4598585.0,16.0,16
19,16,29636,413248.94310000003,4598855.534,16.0,16
20,17,29554,410384.0,4598562.0,17.0,17
21,18,29585,411619.0,4598330.5,18.0,18
22,18,29592,411919.71395,4598139.6205,18.0,18
23,19,29641,414413.0,4598351.0,19.0,19
24,19,29657,414772.3825,4598347.990499999,19.0,19
25,19,29659,414609.0,4598620.0,19.0,19
26,20,29663,415704.5,4598167.0,20.0,20
27,20,29669,415533.5,4598582.0,20.0,20
28,21,29586,412612.79605,4597782.4475,21.0,21
29,21,29609,412776.29605,4598068.4475,21.0,21
30,22,29594,413174.54225,4597513.4645,22.0,22
31,22,29613,413166.3676,4597961.4355,22.0,22
32,23,29600,413636.5828,4597446.054500001,23.0,23
33,23,29614,413943.9891,4597454.2965,23.0,23
34,23,29627,413699.6372,4597842.384500001,23.0,23
35,24,29614,414254.90630000003,4597480.242000001,24.0,24
36,24,29633,414495.5,4597505.0,24.0,24
37,24,29641,414337.0,4597877.5,24.0,24
38,25,29639,414950.0,4597485.0,25.0,25
39,25,29649,415116.0,4597599.5,25.0,25
40,25,29657,414986.3825,4597860.490499999,25.0,25
41,26,29649,415375.5,4597562.5,26.0,26
42,26,29651,415504.5,4597438.5,26.0,26
43,26,29663,415559.5,4597740.5,26.0,26
44,27,29582,412576.5,4597192.0,27.0,27
45,28,29582,413108.5,4597121.5,28.0,28
46,28,29600,413492.0,4597101.5,28.0,28
47,29,29622,414481.5,4597001.0,29.0,29
48,29,29628,414369.0,4597135.0,29.0,29
49,30,29639,414941.0,4597141.0,30.0,30
50,30,29640,415102.5,4596985.0,30.0,30
51,31,29640,415365.5,4596978.0,31.0,31
52,31,29643,415496.5,4596982.5,31.0,31
53,32,29654,415756.0,4597429.5,32.0,32
54,32,29663,415746.0,4597733.5,32.0,32
55,32,29667,415918.5,4597731.5,32.0,32
56,33,29638,415690.5,4596815.0,33.0,33
57,33,29643,415691.5,4596976.5,33.0,33
58,33,29656,415949.5,4596976.5,33.0,33
59,34,29667,416089.5,4597697.5,34.0,34
60,34,29668,416315.90445000003,4597480.643999999,34.0,34
61,35,29652,416309.0,4596802.0,35.0,35
62,35,29656,416206.0,4596965.5,35.0,35
63,35,29664,416531.0,4596895.0,35.0,35
64,36,29664,416729.5,4597043.0,36.0,36
65,37,29536,412305.5,4596077.0,37.0,37
66,37,29555,412531.0,4596355.0,37.0,37
67,38,29555,413144.5,4596375.0,38.0,38
68,38,29557,413429.5,4596142.0,38.0,38
69,39,29591,414398.0,4596107.5,39.0,39
70,39,29603,414466.5,4596288.0,39.0,39
71,40,29599,414848.41955,4596116.632999999,40.0,40
72,40,29603,414722.41955,4596303.132999999,40.0,40
73,40,29625,415055.41955,4596360.132999999,40.0,40
74,41,29621,415443.0,4596296.0,41.0,41
75,41,29625,415350.5,4596410.0,41.0,41
76,41,29638,415488.5,4596544.0,41.0,41
77,42,29635,415848.5,4596282.5,42.0,42
78,42,29638,415685.0,4596537.5,42.0,42
79,42,29642,415940.0,4596439.5,42.0,42
80,43,29642,416195.5,4596480.5,43.0,43
81,43,29652,416302.5,4596576.5,43.0,43
82,44,29653,416712.3744,4596335.7115,44.0,44
83,44,29661,416768.64425,4596535.950999999,44.0,44
84,45,29653,416853.73014999996,4596236.2605,44.0,44
85,45,29655,417054.6718,4596047.925,45.0,45
86,46,29647,417435.4839,4595582.283,46.0,46
87,47,29489,409479.5,4594638.0,47.0,47
88,48,29489,409112.5,4595717.0,48.0,48
89,49,29534,412521.04949999996,4595297.242000001,49.0,49
90,49,29536,412300.0,4595700.0,49.0,49
91,50,29545,413535.35855,4595318.8805,50.0,50
92,50,29557,413394.5,4595768.0,50.0,50
93,51,29578,414302.5,4595390.0,63.0,63
94,52,29578,414470.5,4595541.5,52.0,52
95,52,29591,414413.5,4595819.5,52.0,52
96,53,29578,414733.5,4595534.0,53.0,53
97,53,29598,415064.5,4595561.5,53.0,53
98,53,29599,414871.0,4595806.0,53.0,53
99,53,29611,415071.0,4595801.5,53.0,53
100,54,29611,415335.5,4595862.0,54.0,54
101,54,29615,415469.0,4595859.5,54.0,54
102,55,29612,415789.5,4595611.0,55.0,55
103,55,29615,415667.0,4595854.5,55.0,55
104,55,29624,415922.50000000047,4595719.0,55.0,55
105,56,29624,416095.0,4595639.0,56.0,56
106,57,29637,416168.5,4596137.0,57.0,57
107,58,29647,417101.4839,4595382.783,58.0,58
108,58,29650,416747.39445,4595774.204,58.0,58
109,59,29534,412574.54949999996,4594890.742000001,59.0,59
110,59,29536,412353.5,4595293.5,49.0,49
111,60,29534,412990.54949999996,4594828.242000001,60.0,60
112,60,29545,413420.85855,4594826.8805,60.0,60
113,61,29558,414215.7528,4594788.3565,62.0,62
114,62,29558,414446.2528,4594793.3565,62.0,62
115,63,29578,414462.9999999999,4595332.0,63.0,63
116,64,29548,414701.69135,4594465.477,64.0,64
117,64,29558,414710.2528,4594725.3565,64.0,64
118,64,29562,415032.98459999997,4594455.7325,64.0,64
119,65,29578,414725.99999999994,4595266.0,65.0,65
120,65,29588,415051.0,4595107.5,65.0,65
121,66,29562,415284.8314,4594482.142,66.0,66
122,66,29577,415421.29485,4594608.6185,66.0,66
123,66,29588,415295.8467999999,4594853.9095,67.0,67
124,67,29588,415260.0,4595114.0,67.0,67
125,67,29601,415395.5,4595238.5,67.0,67
126,68,29583,415799.0,4594428.0,68.0,68
127,68,29593,415892.0,4594507.0,68.0,68
