,A,B,X_MID,Y_MID,TAZID_1,nearest_tazid
128,69,29601,415638.0,4595215.5,69.0,69
129,69,29608,415902.5,4595092.0,69.0,69
130,69,29612,415771.0,4595271.0,69.0,69
131,70,29593,416074.0,4594474.5,70.0,70
132,71,29630,416777.0,4594729.5,71.0,71
133,72,29608,416133.5,4595146.5,72.0,72
134,72,29623,416274.0,4595293.5,72.0,72
135,73,29604,416935.82585,4594105.5045,73.0,73
136,74,29516,412656.5,4594018.0,74.0,74
137,74,29534,412659.04949999996,4594421.742000001,59.0,59
138,75,29511,413418.9101,4593683.9085,75.0,75
139,75,29512,413697.201,4593464.8965,75.0,75
140,76,29541,414110.8456,4594005.2275,77.0,77
141,77,29541,414410.3627,4593958.158,77.0,77
142,77,29548,414415.20845000003,4594185.9075,77.0,77
143,78,29541,414570.8456,4593789.7275,78.0,78
144,78,29550,414899.61939999997,4593715.605,78.0,78
145,79,29553,414953.7298,4594230.0275,79.0,79
146,79,29556,415086.15914999996,4594115.5825,79.0,79
147,80,29542,415095.0,4593434.5,80.0,80
148,80,29550,415106.61939999997,4593669.605,80.0,80
149,81,29596,416585.6804,4593936.6785,81.0,81
150,82,29550,415366.61939999997,4593789.605,82.0,82
151,82,29567,415506.0,4594075.0,82.0,82
152,83,29512,413729.39125,4593215.392,83.0,83
153,83,29519,413993.5,4593101.5,83.0,83
154,84,29533,414590.0926,4593223.15,84.0,84
155,84,29537,414881.0,4593157.5,84.0,84
156,85,29537,415276.0,4593114.5,85.0,85
157,85,29547,415517.5,4593171.0,85.0,85
158,86,29482,411814.0,4592741.5,86.0,86
159,87,29470,412477.06275,4592423.8075,87.0,87
160,87,29474,412611.6579,4592550.35,87.0,87
161,88,29487,413136.89055,4592138.499,88.0,88
162,88,29491,413070.11095,4592322.932,88.0,88
163,89,29479,413695.0,4591661.0,89.0,89
164,89,29500,414045.96615,4591850.9895,89.0,89
165,89,29501,413961.15445000003,4591947.916999999,89.0,89
166,90,29509,414262.95495,4592538.5945,90.0,90
167,90,29513,414263.28599999996,4592731.59,90.0,90
168,90,29520,414459.08400000003,4592734.522,90.0,90
169,91,29500,414541.96615,4591838.9895,91.0,91
170,92,29532,415094.6943,4592743.901000001,92.0,92
171,93,29470,412259.06275000004,4591626.3075,93.0,93
172,94,29469,412832.5,4591105.0,94.0,94
173,94,29470,412522.06275000004,4591547.8075,94.0,94
174,95,29469,413177.0,4591013.5,95.0,95
175,95,29477,413606.0,4591079.5,95.0,95
176,96,29490,414268.8384,4591382.424000001,96.0,96
177,97,29409,410664.0,4588108.5,109.0,109
178,97,29452,410647.07435,4590081.268999999,98.0,98
179,98,29409,411538.0,4587749.0,109.0,109
180,98,29452,411521.07434999995,4589721.768999999,98.0,98
181,99,29452,411948.07435,4590220.768999999,99.0,99
182,100,29456,412503.1309,4590065.6595,100.0,100
183,100,29460,412662.5,4590212.5,100.0,100
184,101,29467,413585.5,4590377.5,101.0,101
185,102,29452,411928.07435,4589673.268999999,102.0,102
186,103,29454,412594.25685,4589465.5105,103.0,103
187,103,29456,412457.1309,4589671.6595,103.0,103
188,104,29454,412890.75685,4589753.0105,104.0,104
189,104,29461,413139.95,4589888.85,104.0,104
190,105,29450,413037.0,4588814.0,105.0,105
191,105,29455,413180.0,4589012.0,105.0,105
192,106,29455,413455.0,4588962.5,106.0,106
193,107,29438,411880.8417,4588299.6775,107.0,107
194,107,29449,412344.0,4588535.0,110.0,110
195,108,29444,412914.57555,4588296.446,108.0,108
196,108,29451,413221.5,4588354.5,108.0,108
197,109,29409,411449.0,4587084.0,109.0,109
198,110,29444,412605.57555,4588330.446,110.0,110
199,110,29451,412912.5,4588388.5,108.0,108
200,111,29416,412036.1395,4586887.5315000005,115.0,115
201,112,29440,412622.08019999997,4587479.9625,112.0,112
202,112,29442,412973.5,4587420.5,113.0,113
203,113,29440,413026.08019999997,4587663.9625,113.0,113
204,113,29442,413377.5,4587604.5,113.0,113
205,114,29442,413585.0,4587343.5,114.0,114
206,115,29416,412113.1395,4586290.5315000005,115.0,115
207,116,29426,412541.0,4586371.0,116.0,116
208,117,29430,413191.5,4586354.0,117.0,117
209,117,29437,413304.5,4586512.0,117.0,117
210,118,29437,413553.5,4586437.0,118.0,118
211,119,29409,411911.5,4585893.5,119.0,119
212,120,29423,412793.72620000003,4585662.348,120.0,120
213,120,29426,412565.5,4585936.0,120.0,120
214,121,29427,413319.0,4585656.5,121.0,121
215,122,29427,413587.0,4585639.5,122.0,122
216,123,29395,412185.60730000003,4584530.333000001,123.0,123
217,124,29404,412803.0,4584798.0,124.0,124
218,125,29404,413094.5,4584786.0,125.0,125
219,125,29414,413293.0,4584798.5,125.0,125
220,126,29414,413550.5,4584721.5,126.0,126
221,127,29397,412841.70545,4584055.556,127.0,127
222,128,29397,413080.66075000004,4584038.1905000005,128.0,128
223,128,29399,413305.95530000003,4583969.634500001,128.0,128
224,128,29401,413168.45530000003,4584230.134500001,128.0,128
225,129,29389,413333.5,4582924.5,129.0,129
226,129,29390,413071.88104999997,4583250.5865,129.0,129
227,130,29399,413649.5,4583866.0,130.0,130
228,131,29391,413656.7669,4583318.8245,131.0,131
229,132,29366,413842.0,4581519.5,132.0,132
230,133,29349,413391.09424999997,4580911.186000001,133.0,133
231,133,29366,413455.0,4581393.5,133.0,133
232,134,29211,411401.5000000001,4578859.0,134.0,134
233,134,29279,411732.5,4579413.0,134.0,134
234,135,29312,412504.0,4580500.0,135.0,135
235,136,29332,413835.3884,4580053.9120000005,136.0,136
236,136,29348,414078.37465,4580217.9445,136.0,136
237,136,29349,413909.19395,4580398.8765,136.0,136
238,137,29251,412362.0,4578798.5,137.0,137
239,137,29279,412319.0,4579355.5,137.0,137
240,138,29295,413218.5,4579019.5,138.0,138
241,138,29332,413236.78870000003,4579584.7215,138.0,138
242,139,29271,413568.0,4578064.0,139.0,139
243,139,29282,413485.0,4578341.0,139.0,139
244,139,29295,413479.5,4578539.0,139.0,139
245,140,29087,410297.5,4577049.5,140.0,140
246,140,29193,410681.90755,4577921.4,140.0,140
247,141,29211,411916.5,4578068.0,141.0,141
248,141,29251,412290.5,4578065.0,141.0,141
249,142,29149,411685.5,4576874.5,142.0,142
250,142,29193,411380.40755,4577758.9,142.0,142
251,143,29274,413172.0,4578285.0,143.0,143
252,144,29305,410493.0,4580655.0,144.0,144
253,144,90143,409328.96575,4579953.543,144.0,144
254,145,29676,415157.0,4600784.5,145.0,145
255,146,29675,416494.0039,4599107.801,146.0,146
256,146,90027,419250.7039,4598011.950999999,146.0,146
257,147,90003,421905.6034,4596704.8875,150.0,150
258,148,90006,420551.1168,4596860.809,148.0,148
259,149,29647,417969.94484999997,4595758.116,149.0,149
260,149,90027,419703.16095000005,4596867.483,148.0,148
261,150,90008,422038.39934999996,4595170.4315,150.0,150
262,150,90009,422248.00935,4594274.1815,150.0,150
263,151,90009,421474.76,4591903.65,151.0,151
264,151,90029,417837.53,4589649.23,151.0,151
265,152,90029,415524.03,4586927.73,152.0,152
266,152,90030,415317.25,4585336.25,152.0,152
267,152,90031,415432.0,4584084.1,152.0,152
268,153,90142,415375.98,4579127.3100000005,153.0,153
269,154,28092,401110.7542,4565005.015000001,154.0,154
270,155,28524,405602.2354,4572720.986,155.0,155
271,155,28629,405721.0852,4573225.3805,155.0,155
272,156,28092,403373.24535,4570092.991,160.0,160
273,156,28524,403916.73540000024,4572653.486000001,156.0,156
274,157,28346,405562.5,4570263.5,157.0,157
275,157,28382,405567.0,4570661.5,157.0,157
276,158,28426,406709.08924999996,4571096.119,158.0,158
277,158,28524,406375.32464999997,4571817.105,158.0,158
278,158,28618,406947.65630000003,4571795.427,158.0,158
279,159,28092,401895.24535,4568738.491,160.0,160
280,159,28524,402438.7354,4571298.986,160.0,160
281,160,28092,403848.74535,4568660.991,160.0,160
282,160,28346,404369.0,4570124.5,157.0,157
283,161,28517,408707.41955500003,4569587.358835001,161.0,161
284,161,28552,408718.7452,4569987.409,161.0,161
285,162,28255,406309.35385,4568746.696,162.0,162
286,162,28398,407562.50815999997,4568322.460030001,167.0,167
287,163,28517,408367.91955500003,4569460.858835001,163.0,163
288,164,22222,409849.391925,4569468.859815,164.0,164
289,164,28517,409229.285005,4569462.433835,161.0,161
290,164,28628,410437.269385,4568692.488585001,169.0,169
291,164,28711,410022.86545000004,4570154.575,296.0,296
292,165,28092,401570.24535,4567272.491,170.0,170
293,166,28136,405528.69169999997,4567594.7785,166.0,166
294,166,28255,405663.2559,4568401.541,166.0,166
295,167,28398,408193.50815999985,4568188.960030001,167.0,167
296,168,28398,408678.50815999997,4568154.960030001,168.0,168
297,169,20415,409897.14091499976,4568165.27788,169.0,169
298,169,28628,410459.403935,4568154.913585,173.0,173
299,170,28092,403424.74535,4567452.991,171.0,171
300,171,28092,404231.24535,4567443.991,171.0,171
301,172,20415,409797.140915,4567531.27788,172.0,172
302,172,28331,409521.5,4566833.5,172.0,172
303,172,28370,409908.0,4566829.0,172.0,172
304,173,28414,410981.7768,4566871.881,173.0,173
305,173,28529,410994.92079999996,4567362.964,173.0,173
306,174,28206,407341.0,4566941.0,174.0,174
307,174,28274,407742.0,4566929.5,174.0,174
308,174,28336,408017.0,4567246.0,174.0,174
309,175,28327,408876.79805,4566911.049000001,175.0,175
310,175,28336,408666.0,4567243.0,175.0,175
311,176,28484,411754.29225,4566656.5485,176.0,176
312,176,28602,412188.25645,4566863.216,176.0,176
313,177,28092,403411.24535,4566737.991,178.0,178
314,178,28092,404220.24535,4566726.991,178.0,178
315,179,28032,404952.71865,4566391.9645,179.0,179
316,179,28136,405430.28965,4566724.933499999,179.0,179
317,180,28089,406711.0,4565784.0,183.0,183
318,180,28206,406952.5,4566436.5,180.0,180
319,181,28164,407884.5343,4565655.4785,181.0,181
320,181,28253,408202.92895,4565909.464500001,181.0,181
321,181,28274,407937.0343,4566297.4785,181.0,181
322,182,28250,408835.5,4565665.5,182.0,182
323,182,28253,408633.39465000003,4565922.486,182.0,182
324,182,28307,409028.5,4565945.0,182.0,182
325,182,28327,408853.29805,4566295.049000001,182.0,182
326,183,28056,407108.5294,4564442.938999999,183.0,183
327,183,28089,406629.0,4565237.0,183.0,183
328,184,28307,409616.0,4565914.0,184.0,184
329,184,28319,409998.5,4565629.0,184.0,184
330,184,28370,410003.5,4566182.0,184.0,184
331,184,28391,410421.29205,4565969.773,184.0,184
332,185,28366,411549.0062,4565637.4175,185.0,185
333,185,28391,411122.79205,4565990.773,185.0,185
334,185,28478,411689.0,4565917.5,185.0,185
335,185,28484,411447.0,4566185.5,185.0,185
336,186,28478,412224.5,4565968.0,186.0,186
337,186,28592,412571.5,4566244.5,186.0,186
338,187,28092,403469.24535,4565896.991,178.0,178
339,188,28092,404562.24535,4565649.491,179.0,179
340,189,28056,407790.5294,4564172.438999999,189.0,189
341,189,28132,408206.5,4564464.5,189.0,189
342,189,28174,408213.0,4564734.0,189.0,189
343,190,28116,408801.33295,4564152.6899999995,190.0,190
344,190,28132,408610.5,4564457.5,190.0,190
345,190,28174,408617.0,4564727.0,190.0,190
346,190,28180,408995.41345,4564448.407,190.0,190
347,190,28249,409015.4549,4564696.9205,190.0,190
348,190,28250,408825.5,4564955.5,190.0,190
349,191,28249,409610.7133,4564890.957,191.0,191
350,191,28319,409996.2584,4565144.036499999,191.0,191
351,191,28338,410412.37,4564858.891,191.0,191
352,192,27981,406296.53735,4563458.141,192.0,192
353,192,28056,406839.5294,4563460.938999999,192.0,192
354,193,28180,409586.41345,4564245.407,193.0,193
355,193,28200,409988.0,4563940.0,193.0,193
356,193,28299,410404.10329999996,4564241.3985,193.0,193
357,194,27685,404419.0,4561175.5,194.0,194
358,194,28092,403960.74535,4564552.491,188.0,188
359,195,27966,407944.96835,4562544.527,195.0,195
360,195,28020,407776.5294,4563158.755,195.0,195
361,195,28054,408176.5,4562938.0,195.0,195
362,195,28081,407999.60329999996,4563347.4515,195.0,195
363,196,28015,408779.0,4562523.5,196.0,196
364,196,28062,408582.78985,4563008.5065,196.0,196
365,196,28114,408985.42175,4562939.990499999,196.0,196
366,196,28116,408787.33295,4563329.6899999995,196.0,196
367,197,28114,409585.42175,4563117.990499999,197.0,197
368,197,28200,409983.0,4563498.0,197.0,197
369,197,28242,410383.07015000004,4563150.057,197.0,197
370,198,28078,409579.3886,4562660.275,198.0,198
371,198,28104,410008.27495,4562343.6205,198.0,198
372,198,28175,410393.07015000004,4562656.267,198.0,198
373,199,28694,407948.63824999996,4573834.3755,203.0,203
374,199,28908,407457.1239,4575611.9965,199.0,199
375,200,28908,408292.70595,4575881.572,199.0,199
376,200,29052,409794.08204999997,4575811.0755,200.0,200
377,201,29052,410373.0,4575790.5,201.0,201
378,201,29109,410632.5,4576195.5,201.0,201
379,202,29067,411501.5,4575048.5,202.0,202
380,202,29149,411438.5,4576017.5,202.0,202
381,203,28793,408636.63930000004,4573446.773,203.0,203
382,203,28913,409119.0,4573688.5,203.0,203
383,204,28972,410215.0,4573870.5,204.0,204
384,205,29049,411427.0,4574491.5,205.0,205
385,206,29067,411822.0,4574471.5,206.0,206
386,207,28618,407027.56705,4572947.808,210.0,210
387,207,28677,406759.18935,4573670.737,207.0,207
388,208,28938,410451.0,4573379.0,208.0,208
389,208,28972,410449.0,4573641.0,208.0,208
390,209,28998,411663.02855,4573361.274499999,209.0,209
391,209,29013,411404.0,4573796.0,209.0,209
392,210,28524,406439.7354,4572472.486,210.0,210
393,210,28618,407012.06705,4572450.808,210.0,210
394,210,28629,406558.5852,4572976.8805,210.0,210
395,211,28694,408210.2504,4572611.6295,211.0,211
396,211,28793,408422.75145,4572996.027000001,211.0,211
397,212,28754,408894.86710000003,4572604.9625,212.0,212
398,212,28793,408732.13930000004,4572972.773,212.0,212
399,212,28810,409046.003,4572779.153,212.0,212
400,212,28846,409053.69865000003,4572967.761,212.0,212
401,213,28854,409830.98065000004,4572779.7145,213.0,213
402,213,28863,410079.4583,4572577.346,213.0,213
403,213,28938,410143.5,4572994.5,213.0,213
404,214,28900,411165.5758,4572498.052,214.0,214
405,214,28929,411589.6315,4572267.3295,218.0,218
406,214,29029,411977.2785,4572889.238,214.0,214
407,215,28598,408114.5,4571354.5,215.0,215
408,215,28648,408276.5,4571526.0,215.0,215
409,215,28692,408305.0,4571846.0,215.0,215
410,215,28694,408119.13824999996,4572046.8755,215.0,215
411,216,28692,408659.5,4572090.0,216.0,216
412,216,28712,408838.6206,4572087.1625,216.0,216
413,216,28725,408694.4292,4572310.938999999,216.0,216
414,216,28754,408848.86710000003,4572307.4625,216.0,216
415,216,28761,408989.7565,4572187.066,216.0,216
416,217,28761,409518.7565,4572173.566,217.0,217
417,217,28827,410029.5,4572054.5,217.0,217
418,217,28863,410025.9583,4572268.346,217.0,217
419,218,28881,411284.19995,4572031.0345,218.0,218
420,218,28900,411193.30909999995,4572251.919,218.0,218
421,218,28946,411795.84975,4571934.7425,218.0,218
422,219,28648,408613.5,4571408.5,219.0,219
423,219,28701,408958.82790000003,4571478.861500001,219.0,219
424,220,28701,409369.43075,4571524.358,220.0,220
425,220,28763,409503.25575,4571763.473999999,220.0,220
426,220,28827,409893.60285,4571751.9965,220.0,220
427,221,28929,411553.93004999997,4571648.5005,221.0,221
428,222,28551,407771.0,4570658.0,222.0,222
429,222,28594,408161.88245000003,4570491.448,222.0,222
430,223,28594,408717.88245000003,4570747.948,161.0,161
431,223,28667,409063.7019,4570906.768999999,223.0,223
432,224,29131,412797.5,4575341.0,224.0,224
433,224,29194,412787.5,4576162.5,224.0,224
434,225,29174,413444.82905,4575400.3635,225.0,225
435,225,29195,413497.82905,4575660.3635,225.0,225
436,226,29079,413190.62974999996,4573757.908,226.0,226
437,226,29131,412920.12974999996,4574562.408,226.0,226
438,227,29079,413425.08105000004,4573739.1515,227.0,227
439,227,29142,413628.08105000004,4574203.6515,227.0,227
440,227,29164,413722.4419,4574399.043500001,227.0,227
441,228,29056,412854.3287,4573073.9505,228.0,228
442,228,29079,413125.5,4573070.0,228.0,228
443,228,29081,413458.4378,4572773.66,229.0,229
444,229,29079,413527.0,4573057.0,229.0,229
445,229,29081,413859.9378,4572760.66,229.0,229
446,230,29126,414733.5,4572681.0,230.0,230
447,230,29138,414502.0,4573019.0,230.0,230
448,231,29126,415250.64645,4572587.513,231.0,231
449,232,29010,413119.02005,4571889.0795,232.0,232
450,232,29045,413453.36234999995,4571989.426,233.0,233
451,233,29016,413705.3956,4571694.9935,233.0,233
452,233,29045,413861.25295,4571895.738,233.0,233
453,234,29061,414788.71345000004,4571518.4255,234.0,234
454,234,29091,415200.22195000004,4571479.4035,234.0,234
455,235,28965,413564.57505,4570447.1145,238.0,238
456,235,29010,413258.41065,4571266.3915,235.0,235
457,236,29039,415212.82615,4570402.203,236.0,236
458,236,29060,414894.39655,4570943.945,236.0,236
459,237,28921,414418.5,4569518.0,300.0,300
460,237,29039,415013.92960000003,4570126.757999999,236.0,236
461,238,28965,413671.57505,4570106.1145,238.0,238
462,239,29266,416411.6019,4576316.3475,247.0,247
463,239,29315,416502.0017,4577106.286499999,242.0,242
464,240,29333,417518.9875,4576834.0745,243.0,243
465,240,29344,417521.3105,4577080.227,243.0,243
466,241,29255,414435.5,4576839.5,241.0,241
467,241,29259,415141.6209,4576188.893999999,246.0,246
468,241,29300,415375.78835,4576705.808499999,241.0,241
469,242,29266,416283.4352,4575944.3515,247.0,247
470,242,29315,416373.835,4576734.2905,242.0,242
471,243,29333,417556.9875,4576477.0745,249.0,249
472,243,29352,417784.126,4576718.5165,243.0,243
473,244,29202,414181.7957,4575469.6345,244.0,244
474,244,29232,413944.844,4576050.9135,244.0,244
475,245,29210,414994.33765,4575053.399499999,245.0,245
476,245,29248,415085.9865,4575316.396,245.0,245
477,246,29247,415006.62445,4575851.7325,246.0,246
478,246,29267,415083.38474999997,4576062.8825,246.0,246
479,246,29281,415489.49035,4575925.5825,246.0,246
480,247,29262,416035.5,4575449.5,247.0,247
481,247,29281,415950.99035,4575888.0825,247.0,247
482,248,29331,417038.995,4576321.43,248.0,248
483,248,29333,417221.9875,4576072.5745,248.0,248
484,249,29333,417585.9875,4575963.5745,249.0,249
485,249,29355,417899.5232,4576174.1605,249.0,249
486,250,29277,416825.5,4574992.0,250.0,250
487,250,29309,417102.19680000003,4575260.819,250.0,250
488,251,29297,417438.35765,4574983.688,251.0,251
489,251,29309,417442.059,4575187.243000001,251.0,251
490,251,29313,417705.0793,4574977.485,251.0,251
491,252,29138,414573.0,4573700.5,252.0,252
492,252,29185,414800.8627,4574030.1755,252.0,252
493,252,29202,414507.77555,4574628.4705,252.0,252
494,253,29201,415537.4144,4574231.482,253.0,253
495,253,29237,415892.92715,4574195.8155000005,253.0,253
496,253,29262,415812.31315,4574677.05,253.0,253
497,254,29207,416469.6323,4573709.0405,254.0,254
498,254,29237,416260.614,4574103.2655,254.0,254
499,254,29261,416719.0,4574013.5,254.0,254
500,254,29277,416614.0,4574444.5,254.0,254
501,255,29252,417437.33375,4573369.184,255.0,255
502,255,29261,417182.83375,4573749.684,255.0,255
503,255,29280,417444.83375,4573873.684,255.0,255
504,256,29280,417522.5,4574250.5,256.0,256
505,256,29291,417424.77375,4574494.9855,256.0,256
506,256,29304,417737.13735,4574414.016,256.0,256
507,257,29183,416093.6018,4572662.0254999995,257.0,257
508,257,29188,415999.0906,4572821.086999999,257.0,257
509,258,29188,416246.4888,4573089.5615,258.0,258
510,258,29207,416468.1323,4573226.0405,258.0,258
511,258,29216,416707.5732,4573074.8465,258.0,258
512,259,29242,417398.29135,4573039.534499999,259.0,259
513,259,29252,417384.19145000004,4573122.229,259.0,259
514,260,29362,418763.2391,4576488.7875,260.0,260
515,260,29368,419066.5677,4576371.582,260.0,260
516,261,29367,420075.6588,4575858.526000001,261.0,261
517,261,29384,420190.5746,4576104.439,261.0,261
518,262,29382,421341.7267,4574910.3915,262.0,262
519,263,29354,418834.57535,4575424.2165,263.0,263
520,263,29362,418529.2391,4575965.7875,263.0,263
521,264,29354,419253.57535,4575299.7165,264.0,264
522,264,29364,419717.655,4575126.351,264.0,264
523,264,29376,419550.2894,4575612.384500001,264.0,264
524,265,29359,420327.0,4574704.5,265.0,265
525,265,29364,420159.655,4574975.851,265.0,265
526,266,29311,418606.0,4574206.5,266.0,266
527,266,29325,418567.0,4574435.0,266.0,266
528,266,29330,418822.0,4574243.0,266.0,266
529,267,29317,418323.95285,4574713.5940000005,267.0,267
530,267,29325,418526.0,4574628.5,267.0,267
531,267,29343,418788.0,4574745.5,267.0,267
532,268,29370,420919.5041,4574522.6655,268.0,268
533,268,29380,420992.40345,4574744.702500001,268.0,268
534,269,29286,418308.5,4573711.5,269.0,269
535,269,29311,418524.5,4573962.5,269.0,269
536,270,29273,418301.9112,4573257.8285,270.0,270
537,270,29286,418283.0,4573457.5,270.0,270
538,270,29293,418436.8029,4573444.2245000005,270.0,270
539,271,29298,419178.50905,4573406.9059999995,271.0,271
540,271,29306,419405.0,4573335.0,271.0,271
541,271,29335,419711.9424,4573482.348999999,271.0,271
542,272,29330,419289.67735,4574134.970000001,272.0,272
543,272,29346,419492.04455,4574292.164000001,272.0,272
544,273,29359,420301.5,4574231.0,273.0,273
545,273,29361,420495.5,4574048.0,273.0,273
546,274,29351,420935.8292,4573744.4865,274.0,274
547,274,29353,421170.01995,4573515.9135,274.0,274
